NAMELSAD,B02001e1,B02001e2,B02001e3,B02001e4,B02001e5,B02001e6,B02001e7,B17001e1,B17001e2,B17001e3,B17001e4,B17001e5,B17001e6,B17001e7,B17001e8,TotalMinor,TotalSnr,cancer_cru,casthma_cr,chd_crudep,copd_crude,GEOID
Census Tract 7323.01,5085.000000000000000,4165.000000000000000,440.000000000000000,0.000000000000000,256.000000000000000,0.000000000000000,50.000000000000000,5085.000000000000000,822.000000000000000,457.000000000000000,113.000000000000000,0.000000000000000,11.000000000000000,22.000000000000000,0.000000000000000,1179.000000000000000,562.000000000000000,7.600000000000000,13.100000000000000,7.200000000000000,8.300000000000001,25027732301
Census Tract 7328.02,3910.000000000000000,2902.000000000000000,639.000000000000000,0.000000000000000,101.000000000000000,0.000000000000000,216.000000000000000,3903.000000000000000,528.000000000000000,235.000000000000000,32.000000000000000,0.000000000000000,52.000000000000000,8.000000000000000,0.000000000000000,816.000000000000000,554.000000000000000,7.100000000000000,12.500000000000000,6.300000000000000,6.600000000000000,25027732802
Census Tract 7362,3916.000000000000000,3795.000000000000000,1.000000000000000,0.000000000000000,51.000000000000000,0.000000000000000,6.000000000000000,3906.000000000000000,170.000000000000000,31.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1021.000000000000000,758.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027736200
Census Tract 7363,2582.000000000000000,2201.000000000000000,28.000000000000000,0.000000000000000,140.000000000000000,0.000000000000000,54.000000000000000,2561.000000000000000,122.000000000000000,75.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,17.000000000000000,613.000000000000000,342.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027736300
Census Tract 7364,3071.000000000000000,2894.000000000000000,32.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,79.000000000000000,3065.000000000000000,232.000000000000000,22.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,645.000000000000000,544.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027736400
Census Tract 7373,6873.000000000000000,6068.000000000000000,56.000000000000000,22.000000000000000,378.000000000000000,33.000000000000000,0.000000000000000,6732.000000000000000,221.000000000000000,55.000000000000000,18.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1411.000000000000000,1041.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027737300
Census Tract 7392.02,3507.000000000000000,2625.000000000000000,52.000000000000000,58.000000000000000,753.000000000000000,0.000000000000000,0.000000000000000,3507.000000000000000,122.000000000000000,24.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,929.000000000000000,470.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027739202
Census Tract 7318.02,4448.000000000000000,1913.000000000000000,692.000000000000000,361.000000000000000,0.000000000000000,0.000000000000000,465.000000000000000,4357.000000000000000,2038.000000000000000,1003.000000000000000,108.000000000000000,0.000000000000000,88.000000000000000,75.000000000000000,0.000000000000000,1276.000000000000000,460.000000000000000,5.100000000000000,14.500000000000000,7.500000000000000,9.300000000000001,25027731802
Census Tract 7318.01,2965.000000000000000,2057.000000000000000,43.000000000000000,15.000000000000000,546.000000000000000,0.000000000000000,41.000000000000000,2965.000000000000000,1190.000000000000000,630.000000000000000,58.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,524.000000000000000,878.000000000000000,8.100000000000000,13.400000000000000,10.500000000000000,10.900000000000000,25027731801
Census Tract 7316.02,3221.000000000000000,2559.000000000000000,195.000000000000000,14.000000000000000,345.000000000000000,0.000000000000000,24.000000000000000,905.000000000000000,580.000000000000000,362.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,36.000000000000000,96.000000000000000,1.800000000000000,14.000000000000000,2.500000000000000,4.200000000000000,25027731602
Census Tract 7316.01,4357.000000000000000,3311.000000000000000,248.000000000000000,0.000000000000000,274.000000000000000,0.000000000000000,143.000000000000000,3926.000000000000000,1364.000000000000000,873.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,173.000000000000000,443.000000000000000,4.500000000000000,12.199999999999999,5.100000000000000,5.400000000000000,25027731601
Census Tract 7391.01,4583.000000000000000,2982.000000000000000,0.000000000000000,24.000000000000000,1321.000000000000000,0.000000000000000,21.000000000000000,4583.000000000000000,245.000000000000000,182.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1047.000000000000000,774.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027739101
Census Tract 7328.01,6115.000000000000000,3499.000000000000000,1023.000000000000000,0.000000000000000,539.000000000000000,0.000000000000000,551.000000000000000,6115.000000000000000,282.000000000000000,138.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1044.000000000000000,824.000000000000000,8.400000000000000,11.500000000000000,5.600000000000000,5.000000000000000,25027732801
Census Tract 7613,3547.000000000000000,2610.000000000000000,87.000000000000000,0.000000000000000,264.000000000000000,0.000000000000000,42.000000000000000,3500.000000000000000,513.000000000000000,333.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,123.000000000000000,0.000000000000000,843.000000000000000,534.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027761300
Census Tract 7310.01,2860.000000000000000,1136.000000000000000,697.000000000000000,0.000000000000000,673.000000000000000,0.000000000000000,91.000000000000000,2853.000000000000000,147.000000000000000,49.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,474.000000000000000,377.000000000000000,7.900000000000000,11.800000000000001,6.500000000000000,6.200000000000000,25027731001
Census Tract 7322.03,3093.000000000000000,1875.000000000000000,340.000000000000000,23.000000000000000,317.000000000000000,14.000000000000000,282.000000000000000,2938.000000000000000,325.000000000000000,153.000000000000000,7.000000000000000,0.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,648.000000000000000,442.000000000000000,5.900000000000000,12.000000000000000,5.600000000000000,5.700000000000000,25027732203
Census Tract 7304.02,2091.000000000000000,1045.000000000000000,361.000000000000000,0.000000000000000,56.000000000000000,0.000000000000000,321.000000000000000,2049.000000000000000,382.000000000000000,171.000000000000000,23.000000000000000,0.000000000000000,52.000000000000000,25.000000000000000,0.000000000000000,551.000000000000000,172.000000000000000,5.100000000000000,13.199999999999999,5.800000000000000,7.100000000000000,25027730402
Census Tract 7314,4566.000000000000000,2480.000000000000000,506.000000000000000,33.000000000000000,300.000000000000000,19.000000000000000,516.000000000000000,4449.000000000000000,1668.000000000000000,990.000000000000000,81.000000000000000,0.000000000000000,132.000000000000000,66.000000000000000,10.000000000000000,1009.000000000000000,508.000000000000000,5.100000000000000,13.400000000000000,7.900000000000000,9.100000000000000,25027731400
Census Tract 7311.02,3416.000000000000000,2282.000000000000000,247.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,260.000000000000000,3416.000000000000000,264.000000000000000,199.000000000000000,0.000000000000000,0.000000000000000,24.000000000000000,0.000000000000000,0.000000000000000,691.000000000000000,354.000000000000000,7.100000000000000,12.000000000000000,5.800000000000000,5.800000000000000,25027731102
Census Tract 7317,3594.000000000000000,1969.000000000000000,492.000000000000000,12.000000000000000,379.000000000000000,0.000000000000000,275.000000000000000,3408.000000000000000,1020.000000000000000,529.000000000000000,76.000000000000000,100.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,526.000000000000000,288.000000000000000,4.300000000000000,12.600000000000000,4.600000000000000,5.100000000000000,25027731700
Census Tract 7313,4672.000000000000000,1648.000000000000000,910.000000000000000,56.000000000000000,432.000000000000000,21.000000000000000,747.000000000000000,4576.000000000000000,1406.000000000000000,722.000000000000000,148.000000000000000,0.000000000000000,135.000000000000000,41.000000000000000,0.000000000000000,1336.000000000000000,479.000000000000000,4.000000000000000,13.100000000000000,6.500000000000000,7.300000000000000,25027731300
